국가,클릭수,노출,CTR,게재 순위
한국,1,9,11.11%,7.33
미국,0,88,0%,19.56
영국,0,25,0%,9.72
브라질,0,6,0%,8
베트남,0,6,0%,14.33
인도,0,5,0%,11.8
인도네시아,0,4,0%,10.5
이탈리아,0,3,0%,9.33
프랑스,0,3,0%,13
몰도바,0,2,0%,7.5
파키스탄,0,2,0%,8.5
필리핀,0,2,0%,9
방글라데시,0,2,0%,9.5
캐나다,0,2,0%,12.5
스페인,0,2,0%,13
독일,0,2,0%,16
몰타,0,1,0%,6
아일랜드,0,1,0%,7
사우디 아라비아,0,1,0%,7
우크라이나,0,1,0%,7
그리스,0,1,0%,8
네덜란드,0,1,0%,8
볼리비아,0,1,0%,11
리투아니아,0,1,0%,11
태국,0,1,0%,11
아랍에미리트 연합,0,1,0%,12
아르헨티나,0,1,0%,13
아프가니스탄,0,1,0%,15
말레이시아,0,1,0%,15
보츠와나,0,1,0%,17
대만,0,1,0%,18
콜롬비아,0,1,0%,31